settlement_date,settlement_period,ssp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment,price_derivation_code,replacement_price,settlement_datetime,ssp_raw,is_spike,abs_imbalance_volume,price_derivation_code_P,hour,day_of_week,month,week_of_year,quarter,day_of_year,sin_sp,cos_sp,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,sin_annual,cos_annual,sin_half_annual,cos_half_annual,is_weekend,is_peak,is_evening_ramp,is_uk_holiday,is_business_day,ssp_lag_1,ssp_lag_2,ssp_lag_48,ssp_lag_96,ssp_lag_336,net_imbalance_volume_lag_1,net_imbalance_volume_lag_48,net_imbalance_volume_lag_336,ssp_roll_mean_6,ssp_roll_std_6,ssp_roll_min_6,ssp_roll_max_6,ssp_roll_mean_48,ssp_roll_std_48,ssp_roll_min_48,ssp_roll_max_48,ssp_roll_mean_336,ssp_roll_std_336,ssp_roll_min_336,ssp_roll_max_336,net_imbalance_volume_roll_mean_6,net_imbalance_volume_roll_std_6,net_imbalance_volume_roll_min_6,net_imbalance_volume_roll_max_6,net_imbalance_volume_roll_mean_48,net_imbalance_volume_roll_std_48,net_imbalance_volume_roll_min_48,net_imbalance_volume_roll_max_48,ssp_diff_1_48,ssp_diff_48_336,ssp_raw_lag_48,ssp_raw_lag_96,ssp_raw_lag_336,is_spike_lag_48,is_spike_lag_336,spike_count_roll_48,is_negative_lag_48,is_negative_lag_336,neg_count_roll_48,abs_niv_roll_mean_6,abs_niv_roll_mean_48,ssp_ramp_48,ssp_ramp_336,ssp_raw_ramp_48,niv_ramp_48,same_sp_mean_7d,same_sp_std_7d,same_sp_range_7d,ssp_sp_deviation,ssp_sp_trend_7d,niv_same_sp_std_7d,niv_same_sp_mean_7d,wind_pct,gas_pct,wind_pct_lag_48,wind_pct_lag_336,gas_pct_lag_48,gas_pct_lag_336,cpi_index,cpi_yoy,cpi_deflator,_raw_temp_c,_raw_wind_ms,_raw_solar_wm2,_raw_precip_mm,heating_degree,cooling_degree,temp_c_lag_1,temp_c_lag_48,temp_c_lag_336,wind_ms_lag_1,wind_ms_lag_48,wind_ms_lag_336,solar_wm2_lag_1,solar_wm2_lag_48,solar_wm2_lag_336,precip_mm_lag_1,precip_mm_lag_48,precip_mm_lag_336,temp_c_roll_mean_6,temp_c_roll_std_6,temp_c_roll_mean_48,temp_c_roll_std_48,wind_ms_roll_mean_6,wind_ms_roll_std_6,wind_ms_roll_mean_48,wind_ms_roll_std_48,solar_wm2_roll_mean_6,solar_wm2_roll_std_6,solar_wm2_roll_mean_48,solar_wm2_roll_std_48,wind_ramp_6
2026-05-19,1,79.09,-65.30210763888888,0.0,0.0,N,79.09,2026-05-19 00:00:00,79.09,0,65.30210763888888,0,0,1,5,21,2,139,0.0,1.0,0.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,90.02,90.01,139.78,101.08,88.03,-177.55707194444443,190.2552802777778,-21.748856666666665,112.20666666666668,22.13990665442577,90.01,140.85,114.6103389937106,21.31156029397413,86.44,155.57,104.46342181166985,30.228803339544303,2.07,175.0,22.84010116939436,189.312347476553,-177.55707194444443,291.91010453582066,24.416366919229475,171.67986637749792,-321.8452146825397,477.5345780555555,-49.760000000000005,51.75,139.78,101.08,88.03,0.0,0.0,0.0,0.0,0.0,0.0,145.63779010665965,134.21685470463788,21.86,-1.8900000000000008,21.86,47.948335833333374,110.66285714285712,19.839236136408843,53.64,29.117142857142863,51.75,174.29561723872595,47.22777762993793,53.4,12.3,11.4,34.6,41.9,17.2,142.4,2.8901734104046244,1.0,8.2,5.104,0.0,0.36,9.96,0.0,8.059999999999999,5.540000000000001,3.38,4.914,2.7960000000000003,1.086,0.0,0.0,0.0,0.08,0.06,0.0,8.113333333333328,0.098522417079837,8.1075,2.0809393337232978,4.59,0.2552426296692559,3.8950833333333335,0.7753561661565339,0.1999999999999621,0.3098386732679763,178.6,193.1736028836874,0.6379999999999999
2026-05-19,2,65.74522175803557,-87.24388888888889,0.0,0.0,N,66.2045,2026-05-19 00:30:00,65.74522175803557,0,87.24388888888889,0,0,1,5,21,2,139,0.1305261922200515,0.9914448613738104,0.0,1.0,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,79.09,90.02,119.32,89.9,82.5,-65.30210763888888,106.14916680555557,-13.029549444444443,108.65333333333336,25.81732958047144,79.09,140.85,113.3459639937106,21.58507661680164,79.09,155.57,104.43681466881269,30.247239914210624,2.07,175.0,20.64979996673029,190.42637882072032,-177.55707194444443,291.91010453582066,19.092254670965584,170.3852418245409,-321.8452146825397,477.5345780555555,-40.22999999999999,36.81999999999999,119.32,89.9,82.5,0.0,0.0,0.0,0.0,0.0,0.0,147.82809130932372,131.61366360799437,-20.460000000000008,-5.530000000000001,-20.460000000000008,-84.10611347222225,100.42067612692811,25.8678265570091,66.18473288849681,18.89932387307188,36.81999999999999,341.4496163152664,-27.36265558158112,54.9,11.1,11.5,35.2,41.0,16.9,142.4,2.8901734104046244,1.0,8.2,5.104,0.0,0.36,9.96,0.0,8.2,5.540000000000001,3.38,5.104,2.7960000000000003,1.086,0.0,0.0,0.0,0.36,0.06,0.0,8.106666666666662,0.0891440781390097,8.162916666666666,2.046239891858712,4.711333333333333,0.3019315595745386,3.943166666666667,0.7773091428420837,0.0999999999999621,0.2449489813272049,178.6,193.1736028836874,0.7279999999999998
2026-05-19,3,66.50125048732767,-97.13138888888888,0.0,0.0,N,66.5124,2026-05-19 01:00:00,66.50125048732767,0,97.13138888888888,0,1,1,5,21,2,139,0.2588190451025207,0.9659258262890684,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,65.74522175803557,79.09,115.38,82.29,82.5,-87.24388888888889,89.94375,-58.607470972222224,96.13587029300594,25.286486280428097,65.74522175803557,133.95,112.22982278033636,22.62947361070633,65.74522175803557,155.57,104.38694925737826,30.297282280639266,2.07,175.0,-28.697554174586354,169.07126810033856,-177.55707194444443,291.91010453582066,15.063232677331328,170.56928612097573,-321.8452146825397,477.5345780555555,-49.634778241964426,32.879999999999995,115.38,82.29,82.5,0.0,0.0,0.0,0.0,0.0,0.0,127.56203346430335,131.21980365139714,-3.9399999999999977,0.0,-3.9399999999999977,-16.205416805555572,103.99571428571429,21.17198767014476,45.0,11.38428571428571,32.879999999999995,437.8190269759917,-44.407470821287184,55.6,10.5,10.3,34.8,41.8,16.7,142.4,2.8901734104046244,1.0,8.28,5.578,0.0,0.6,10.32,0.0,8.2,5.18,2.64,5.104,2.834,1.714,0.0,0.0,0.0,0.36,0.04,0.02,8.099999999999994,0.07797435476224,8.218333333333334,2.0093815427627684,4.832666666666667,0.2860843698405817,3.99125,0.7762212477971152,0.0,5.877083450432877e-05,178.6,193.1736028836874,0.7279999999999998
2026-05-19,4,59.5893514470847,-386.375,0.0,0.0,N,59.64345,2026-05-19 01:30:00,59.5893514470847,0,386.375,0,1,1,5,21,2,139,0.3826834323650898,0.9238795325112868,0.2588190451025207,0.9659258262890684,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,66.50125048732767,65.74522175803557,118.29,85.55,119.6,-97.13138888888888,129.7078698148148,34.54514813492064,84.89441204089388,19.427361765186923,65.74522175803557,118.0,111.21151549882234,23.56511110622549,65.74522175803557,155.57,104.3393339314477,30.344317911703843,2.07,175.0,-93.5378030787046,62.60006410145972,-177.55707194444443,4.683333333333334,11.165833950479476,170.9587395234035,-321.8452146825397,477.5345780555555,-51.78874951267234,-1.309999999999988,118.29,85.55,119.6,0.0,0.0,0.0,0.0,0.0,0.0,95.09891418981476,131.369546128249,2.910000000000011,37.1,2.910000000000011,39.76411981481482,111.69428571428573,19.81592277028994,53.22,6.595714285714294,-1.309999999999988,174.16076698889273,65.05153692861211,56.7,9.9,9.8,37.2,42.5,14.8,142.4,2.8901734104046244,1.0,8.28,5.578,0.0,0.6,10.32,0.0,8.28,5.18,2.64,5.578,2.834,1.714,0.0,0.0,0.0,0.6,0.04,0.02,8.139999999999995,0.0995991967868433,8.282916666666667,1.9588315648083,5.015666666666667,0.3576130124408744,4.048416666666667,0.7900995852484196,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.098
2026-05-19,5,58.85940592789681,-267.7267358333333,0.0,0.0,N,58.98903596666667,2026-05-19 02:00:00,58.85940592789681,0,267.7267358333333,0,2,1,5,21,2,139,0.4999999999999999,0.8660254037844387,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,59.5893514470847,66.50125048732767,119.63,77.26,119.6,-386.375,220.97666666666663,70.91166583333333,75.15930394874134,13.136545100749258,59.5893514470847,90.02,109.9885853206366,24.68643169928726,59.5893514470847,155.57,104.16073081075449,30.43071213776126,2.07,175.0,-158.71419196759348,118.50088807989042,-386.375,-65.30210763888888,0.4141074960041671,179.36659107195345,-386.375,477.5345780555555,-60.04064855291529,0.0300000000000011,119.63,77.26,119.6,0.0,0.0,0.0,0.0,0.0,0.0,158.71419196759254,136.71677800710702,1.3399999999999892,0.0,1.3399999999999892,91.26879685185182,108.91333699005892,16.90260222828068,42.74,10.716663009941072,0.0300000000000011,100.6867405489806,45.76928019317983,58.8,9.3,9.9,37.4,41.6,13.2,142.4,2.8901734104046244,1.0,8.2,5.982,0.0,1.06,10.54,0.0,8.28,4.96,2.42,5.578,2.7300000000000004,2.28,0.0,0.0,0.0,0.6,0.02,0.02,8.179999999999994,0.0995991967868265,8.347499999999998,1.9047069356299628,5.198666666666667,0.3058696890294809,4.105583333333334,0.7995749890537864,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.098
2026-05-19,6,88.21,-208.5511900255632,0.0,0.0,N,88.21,2026-05-19 02:30:00,88.21,0,208.5511900255632,0,2,1,5,21,2,139,0.6087614290087207,0.7933533402912352,0.4999999999999999,0.8660254037844387,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,58.85940592789681,59.5893514470847,136.94,77.35,82.0,-267.7267358333333,326.0871277991435,-129.63749680555554,69.96753827005746,12.216881787338306,58.85940592789681,90.02,108.72253127746778,25.71820822986587,58.85940592789681,155.57,103.97995523315896,30.519008972038563,2.07,175.0,-180.22269886574165,125.63343543960212,-386.375,-65.30210763888888,-9.7672133894125,180.4472929974562,-386.375,477.5345780555555,-78.0805940721032,54.94,136.94,77.35,82.0,0.0,0.0,0.0,0.0,0.0,0.0,180.22269886574065,137.6907377814126,17.310000000000002,-37.6,17.310000000000002,105.11046113247689,97.32142857142856,22.344439598083028,59.59,39.61857142857143,54.94,174.89602514815692,24.858199960274423,59.9,9.3,10.4,39.9,43.1,13.6,142.4,2.8901734104046244,1.0,8.2,5.982,0.0,1.06,10.54,0.0,8.2,4.96,2.42,5.982,2.7300000000000004,2.28,0.0,0.0,0.0,1.06,0.02,0.02,8.203333333333328,0.0804155872156993,8.415000000000001,1.8383595832821795,5.376666666666666,0.402555172202453,4.173333333333333,0.8180989206516694,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.0680000000000005
2026-05-19,7,67.38,-162.37994188271605,0.0,0.0,N,67.38,2026-05-19 03:00:00,67.38,0,162.37994188271605,0,3,1,5,21,2,139,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,88.21,58.85940592789681,115.62,81.87,69.73024823616711,-208.5511900255632,154.90833333333333,-55.3385668452381,69.66587160339081,11.63100318029303,58.85940592789681,88.21,107.70732294413445,25.54183065478454,58.85940592789681,155.57,103.9984373760161,30.50753651319162,2.07,175.0,-185.38838521259476,126.1380929407828,-386.375,-65.30210763888888,-20.90551167742722,175.7137160673403,-386.375,477.5345780555555,-27.41000000000001,45.88975176383289,115.62,81.87,69.73024823616711,0.0,0.0,0.0,0.0,0.0,0.0,185.3883852125938,135.24207241112967,-21.319999999999997,-12.269751763832886,-21.319999999999997,-171.17879446581017,96.02717831945245,19.11552025234148,50.11975176383288,19.59282168054756,45.88975176383289,97.83127997356075,21.3982127534054,61.0,9.1,10.1,43.1,44.3,11.4,142.4,2.8901734104046244,1.0,8.46,6.13,0.0,0.4599999999999999,10.54,0.0,8.2,4.96,2.48,5.982,2.988,2.332,0.0,0.0,0.0,1.06,0.04,0.02,8.226666666666661,0.0413118223665307,8.4825,1.7668947397270869,5.554666666666667,0.3930692899056116,4.241083333333333,0.8305877906723526,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.0680000000000005
2026-05-19,8,65.87,-12.389477083333333,0.0,0.0,N,65.87,2026-05-19 03:30:00,65.87,0,12.389477083333333,0,3,1,5,21,2,139,0.7933533402912352,0.6087614290087207,0.7071067811865475,0.7071067811865476,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,67.38,88.21,115.97,80.41,82.0,-162.37994188271605,300.95104166666664,-63.60506119047619,67.71420493672413,10.6766864820943,58.85940592789681,88.21,106.70232294413444,26.165309841565804,58.85940592789681,155.57,103.99144258959892,30.51568534299748,2.07,175.0,-201.5680242532326,113.2184459703735,-386.375,-87.24388888888889,-27.515684077761588,174.92531821491986,-386.375,477.5345780555555,-48.59,33.97,115.97,80.41,82.0,0.0,0.0,0.0,0.0,0.0,0.0,201.56802425323164,135.39773092257514,0.3499999999999943,12.269751763832886,0.3499999999999943,146.0427083333333,93.066582424304,17.211580981219736,39.69,22.90341757569601,33.97,151.5304272449051,33.56425882376435,62.3,9.0,10.0,44.5,45.3,11.7,142.4,2.8901734104046244,1.0,8.46,6.13,0.0,0.4599999999999999,10.54,0.0,8.46,4.96,2.48,6.13,2.988,2.332,0.0,0.0,0.0,0.4599999999999999,0.04,0.02,8.269999999999994,0.100995049386461,8.555416666666666,1.6889338930325697,5.725666666666666,0.3807832279222112,4.306541666666667,0.8532328249346097,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.0259999999999998
2026-05-19,9,76.34295862971277,-118.90534208333334,0.0,0.0,N,76.52645739936386,2026-05-19 04:00:00,76.34295862971277,0,118.90534208333334,0,4,1,5,21,2,139,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,65.87,67.38,118.89,75.0,62.0931697821699,-12.389477083333333,211.3583333333333,-132.06605996031746,67.73500131038487,10.67220477071547,58.85940592789681,88.21,105.65857294413443,26.77979490885821,58.85940592789681,155.57,103.94343663721796,30.563035370575765,2.07,175.0,-189.0922889523067,131.0547469529033,-386.375,-12.389477083333333,-34.04361155171991,168.12101105336697,-386.375,477.5345780555555,-53.02,56.7968302178301,118.89,75.0,62.0931697821699,0.0,0.0,0.0,0.0,0.0,0.0,189.0922889523057,129.38603166042233,2.9200000000000017,-19.906830217830095,2.9200000000000017,-89.59270833333335,98.92000317486276,29.59418202611941,83.09368265969957,19.96999682513723,56.7968302178301,115.58638786649124,20.28556009877027,62.5,9.0,9.4,44.6,46.3,11.9,142.4,2.8901734104046244,1.0,8.7,5.894,0.0,0.5800000000000001,10.64,0.0,8.46,4.859999999999999,2.62,6.13,2.904,2.518,0.0,0.0,0.0,0.4599999999999999,0.16,0.02,8.313333333333329,0.1191077943177396,8.628333333333334,1.6038137172736238,5.896666666666667,0.255557951679879,4.372,0.8702784098425589,0.0,5.877083450432877e-05,178.6,193.1736028836874,1.0259999999999998
2026-05-19,10,13.27,-76.08645458333334,0.0,0.0,N,13.27,2026-05-19 04:30:00,13.27,0,76.08645458333334,0,4,1,5,21,2,139,0.9238795325112868,0.3826834323650898,0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,0.8660254037844387,-0.4999999999999998,0.6807734094770161,-0.7324940716135789,-0.9973249731081556,0.0730951298980777,0,0,0,0,1,76.34295862971277,65.87,132.0213696041667,79.04,105.0,-118.90534208333334,8.77749486111111,61.74402680555555,69.3752860007824,11.188488354242269,58.85940592789681,88.21,104.77217624892012,27.035445427894604,58.85940592789681,155.57,103.98584672307376,30.51463784401725,2.07,175.0,-192.7212811513808,128.2708979920826,-386.375,-12.389477083333333,-40.92410478956714,164.58501758145587,-386.375,477.5345780555555,-55.678410974453925,27.021369604166694,132.0213696041667,79.04,105.0,0.0,0.0,0.0,0.0,0.0,0.0,192.7212811513798,127.45992767604736,13.131369604166691,42.9068302178301,13.131369604166691,-202.58083847222215,111.56641079800228,21.88579573094724,52.98136960416669,20.454958806164427,27.021369604166694,141.57422763126002,101.79668322236589,63.9,9.6,8.6,43.8,49.0,12.8,142.4,2.8901734104046244,1.0,8.7,5.894,0.0,0.5800000000000001,10.64,0.0,8.7,4.859999999999999,2.62,5.894,2.904,2.518,0.0,0.0,0.0,0.5800000000000001,0.16,0.02,8.383333333333328,0.1949016846187618,8.708333333333334,1.5045453590993594,5.949333333333333,0.2041398213646765,4.434291666666667,0.8699752982144613,0.0,5.877083450432877e-05,178.6,193.1736028836874,0.3159999999999998
