settlement_date,settlement_period,ssp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment,price_derivation_code,replacement_price,settlement_datetime,ssp_raw,is_spike,abs_imbalance_volume,price_derivation_code_P,hour,day_of_week,month,week_of_year,quarter,day_of_year,sin_sp,cos_sp,sin_hour,cos_hour,sin_dow,cos_dow,sin_month,cos_month,sin_annual,cos_annual,sin_half_annual,cos_half_annual,is_weekend,is_peak,is_evening_ramp,is_uk_holiday,is_business_day,ssp_lag_1,ssp_lag_2,ssp_lag_48,ssp_lag_96,ssp_lag_336,net_imbalance_volume_lag_1,net_imbalance_volume_lag_48,net_imbalance_volume_lag_336,ssp_roll_mean_6,ssp_roll_std_6,ssp_roll_min_6,ssp_roll_max_6,ssp_roll_mean_48,ssp_roll_std_48,ssp_roll_min_48,ssp_roll_max_48,ssp_roll_mean_336,ssp_roll_std_336,ssp_roll_min_336,ssp_roll_max_336,net_imbalance_volume_roll_mean_6,net_imbalance_volume_roll_std_6,net_imbalance_volume_roll_mean_48,net_imbalance_volume_roll_std_48,ssp_diff_1_48,ssp_diff_48_336
2026-04-12,1,14.95,-480.82546296296294,0.0,0.0,N,14.95,2026-04-12 00:00:00,14.95,False,480.82546296296294,0,0,6,4,15,2,102,0.0,1.0,0.0,1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-12,2,10.63,-681.9143051990741,0.0,0.0,N,10.63,2026-04-12 00:30:00,10.63,False,681.9143051990741,0,0,6,4,15,2,102,0.13052619222005157,0.9914448613738104,0.0,1.0,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,14.95,,,,,-480.82546296296294,,,14.95,,14.95,14.95,14.95,,14.95,14.95,14.95,,14.95,14.95,-480.82546296296294,,-480.82546296296294,,,
2026-04-12,3,13.35,-646.8124538257575,0.0,0.0,N,13.35,2026-04-12 01:00:00,13.35,False,646.8124538257575,0,1,6,4,15,2,102,0.25881904510252074,0.9659258262890683,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,10.63,14.95,,,,-681.9143051990741,,,12.79,3.054701294725884,10.63,14.95,12.79,3.054701294725884,10.63,14.95,12.79,3.054701294725884,10.63,14.95,-581.3698840810185,142.191283966106,-581.3698840810185,142.191283966106,,
2026-04-12,4,1.94,-435.427641752892,0.0,0.0,N,1.94,2026-04-12 01:30:00,1.94,False,435.427641752892,0,1,6,4,15,2,102,0.3826834323650898,0.9238795325112867,0.25881904510252074,0.9659258262890683,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,13.35,10.63,,,,-646.8124538257575,,,12.976666666666667,2.1840634911406145,10.63,14.95,12.976666666666667,2.1840634911406145,10.63,14.95,12.976666666666667,2.1840634911406145,10.63,14.95,-603.1840739959315,107.40929784193067,-603.1840739959315,107.40929784193067,,
2026-04-12,5,20.390548612775262,-324.42083337962964,0.0,0.0,N,20.821409361132044,2026-04-12 02:00:00,20.390548612775262,False,324.42083337962964,0,2,6,4,15,2,102,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,1.94,13.35,,,,-435.427641752892,,,10.2175,5.799318207053883,1.94,14.95,10.2175,5.799318207053883,1.94,14.95,10.2175,5.799318207053883,1.94,14.95,-561.2449659351716,121.35372531705029,-561.2449659351716,121.35372531705029,,
2026-04-12,6,14.24206777549455,-157.77798642045215,0.0,0.0,N,16.426225251795838,2026-04-12 02:30:00,14.24206777549455,False,157.77798642045215,0,2,6,4,15,2,102,0.6087614290087207,0.7933533402912352,0.49999999999999994,0.8660254037844387,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,20.390548612775262,1.94,,,,-324.42083337962964,,,12.252109722555053,6.776595927571433,1.94,20.390548612775262,12.252109722555053,6.776595927571433,1.94,20.390548612775262,12.252109722555053,6.776595927571433,1.94,20.390548612775262,-513.8801394240633,149.20515721107483,-513.8801394240633,149.20515721107483,,
2026-04-12,7,20.72,-475.14621759785354,0.0,0.0,N,20.72,2026-04-12 03:00:00,20.72,False,475.14621759785354,0,3,6,4,15,2,102,0.7071067811865475,0.7071067811865476,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,14.24206777549455,20.390548612775262,,,,-157.77798642045215,,,12.58376939804497,6.1153733111347055,1.94,20.390548612775262,12.58376939804497,6.1153733111347055,1.94,20.390548612775262,12.58376939804497,6.1153733111347055,1.94,20.390548612775262,-454.52978059012804,197.34369438369814,-454.52978059012804,197.34369438369814,,
2026-04-12,8,12.93,-328.1776741861631,0.0,0.0,N,12.93,2026-04-12 03:30:00,12.93,False,328.1776741861631,0,3,6,4,15,2,102,0.7933533402912352,0.6087614290087207,0.7071067811865475,0.7071067811865476,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,20.72,14.24206777549455,,,,-475.14621759785354,,,13.545436064711636,6.957576275580278,1.94,20.72,13.746088055467116,6.373516944502219,1.94,20.72,13.746088055467116,6.373516944502219,1.94,20.72,-453.5832396959432,197.20591648857118,-457.474985876946,180.3177687679241,,
2026-04-12,9,21.28,-288.9343996845324,0.0,0.0,N,21.28,2026-04-12 04:00:00,21.28,False,288.9343996845324,0,4,6,4,15,2,102,0.8660254037844386,0.5000000000000001,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,12.93,20.72,,,,-328.1776741861631,,,13.928769398044968,6.826956358264604,1.94,20.72,13.644077048533727,5.907780090707664,1.94,20.72,13.644077048533727,5.907780090707664,1.94,20.72,-394.6271345271246,165.64263572972905,-441.31282191559814,173.08753229830228,,
2026-04-12,10,21.69981247098466,-339.00397055555555,0.0,0.0,N,22.5766190749854,2026-04-12 04:30:00,21.69981247098466,False,339.00397055555555,0,4,6,4,15,2,102,0.9238795325112867,0.38268343236508984,0.8660254037844386,0.5000000000000001,-0.7818314824680299,0.6234898018587334,1.0,6.123233995736766e-17,0.9829265519799822,-0.18399835165768005,-0.3617137307297674,-0.9322892131745134,1,0,0,0,0,21.28,12.93,,,,-288.9343996845324,,,15.250436064711636,7.433188632997116,1.94,21.28,14.49251293202998,6.084219213323779,1.94,21.28,14.49251293202998,6.084219213323779,1.94,21.28,-334.9807921702538,112.61866261583235,-424.3818861121464,169.68880750391816,,
