settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-06-06 00:00:00,2026-06-06,1,79.81,41.03,79.81,102.77,86.32,-6.5
2026-06-06 00:30:00,2026-06-06,2,77.52,35.0,77.52,104.21,86.32,-8.8
2026-06-06 01:00:00,2026-06-06,3,76.63,32.93,76.63,104.49,86.32,-9.69
2026-06-06 01:30:00,2026-06-06,4,82.09,39.45,82.09,108.9,86.32,-4.23
2026-06-06 02:00:00,2026-06-06,5,72.44,30.37,72.44,98.69,86.32,-13.87
2026-06-06 02:30:00,2026-06-06,6,72.81,29.59,72.81,100.21,86.32,-13.5
2026-06-06 03:00:00,2026-06-06,7,70.29,31.2,70.29,93.56,86.32,-16.02
2026-06-06 03:30:00,2026-06-06,8,68.34,24.8,68.34,96.06,86.32,-17.97
2026-06-06 04:00:00,2026-06-06,9,67.16,22.59,67.16,95.89,86.32,-19.16
2026-06-06 04:30:00,2026-06-06,10,66.39,20.28,66.39,96.68,86.32,-19.93
2026-06-06 05:00:00,2026-06-06,11,73.3,27.25,73.3,103.53,86.32,-13.02
2026-06-06 05:30:00,2026-06-06,12,73.05,25.68,73.05,104.59,86.32,-13.27
2026-06-06 06:00:00,2026-06-06,13,86.39,40.38,86.39,116.58,86.32,0.07
2026-06-06 06:30:00,2026-06-06,14,88.9,46.45,88.9,115.53,86.32,2.58
2026-06-06 07:00:00,2026-06-06,15,90.11,44.35,90.11,120.03,86.32,3.79
2026-06-06 07:30:00,2026-06-06,16,93.02,49.05,93.02,121.17,86.32,6.71
2026-06-06 08:00:00,2026-06-06,17,85.04,36.02,85.04,118.24,86.32,-1.27
2026-06-06 08:30:00,2026-06-06,18,86.89,40.54,86.89,117.4,86.32,0.57
2026-06-06 09:00:00,2026-06-06,19,75.71,25.45,75.71,110.13,86.32,-10.61
2026-06-06 09:30:00,2026-06-06,20,79.93,30.08,79.93,113.96,86.32,-6.38
2026-06-06 10:00:00,2026-06-06,21,76.96,23.39,76.96,114.69,86.32,-9.36
2026-06-06 10:30:00,2026-06-06,22,76.74,19.62,76.74,118.03,86.32,-9.58
2026-06-06 11:00:00,2026-06-06,23,69.25,13.83,69.25,108.85,86.32,-17.06
2026-06-06 11:30:00,2026-06-06,24,75.62,25.62,75.62,109.78,86.32,-10.7
2026-06-06 12:00:00,2026-06-06,25,70.43,15.79,70.43,109.23,86.32,-15.89
2026-06-06 12:30:00,2026-06-06,26,69.63,11.01,69.63,112.41,86.32,-16.69
2026-06-06 13:00:00,2026-06-06,27,62.2,10.14,62.2,98.43,86.32,-24.12
2026-06-06 13:30:00,2026-06-06,28,61.44,10.48,61.44,96.57,86.32,-24.88
2026-06-06 14:00:00,2026-06-06,29,62.57,7.65,62.57,101.66,86.32,-23.75
2026-06-06 14:30:00,2026-06-06,30,57.66,0.91,57.66,98.58,86.32,-28.66
2026-06-06 15:00:00,2026-06-06,31,64.79,7.47,64.79,106.29,86.32,-21.52
2026-06-06 15:30:00,2026-06-06,32,68.32,8.82,68.32,112.0,86.32,-17.99
2026-06-06 16:00:00,2026-06-06,33,84.45,19.88,84.45,133.2,86.32,-1.86
2026-06-06 16:30:00,2026-06-06,34,87.97,24.39,87.97,135.73,86.32,1.65
2026-06-06 17:00:00,2026-06-06,35,89.32,37.17,89.32,125.63,86.32,3.0
2026-06-06 17:30:00,2026-06-06,36,90.86,34.57,90.86,131.32,86.32,4.54
2026-06-06 18:00:00,2026-06-06,37,114.26,57.02,114.26,155.67,86.32,27.94
2026-06-06 18:30:00,2026-06-06,38,115.91,68.12,115.91,147.88,86.32,29.6
2026-06-06 19:00:00,2026-06-06,39,114.94,66.58,114.94,147.48,86.32,28.63
2026-06-06 19:30:00,2026-06-06,40,114.09,68.37,114.09,143.97,86.32,27.77
2026-06-06 20:00:00,2026-06-06,41,112.76,61.48,112.76,148.22,86.32,26.45
2026-06-06 20:30:00,2026-06-06,42,113.98,68.47,113.98,143.67,86.32,27.67
2026-06-06 21:00:00,2026-06-06,43,101.69,55.85,101.69,131.69,86.32,15.37
2026-06-06 21:30:00,2026-06-06,44,97.93,54.34,97.93,125.7,86.32,11.61
2026-06-06 22:00:00,2026-06-06,45,87.05,42.72,87.05,115.56,86.32,0.74
2026-06-06 22:30:00,2026-06-06,46,81.81,36.61,81.81,111.19,86.32,-4.5
2026-06-06 23:00:00,2026-06-06,47,84.38,32.84,84.38,120.1,86.32,-1.93
2026-06-06 23:30:00,2026-06-06,48,83.01,40.23,83.01,109.97,86.32,-3.3
