settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,spike_prob
2026-06-03 00:00:00,2026-06-03,1,120.85,100.79,120.85,128.03,0.0
2026-06-03 00:30:00,2026-06-03,2,111.16,82.59,111.16,127.02,0.0
2026-06-03 01:00:00,2026-06-03,3,104.01,81.85,104.01,123.98,0.0
2026-06-03 01:30:00,2026-06-03,4,103.09,82.74,103.09,118.42,0.0
2026-06-03 02:00:00,2026-06-03,5,101.2,99.36,101.2,118.62,0.0
2026-06-03 02:30:00,2026-06-03,6,100.3,91.45,100.3,118.18,0.0
2026-06-03 03:00:00,2026-06-03,7,99.34,99.34,99.34,120.4,0.0
2026-06-03 03:30:00,2026-06-03,8,99.43,73.55,99.43,113.27,0.0001
2026-06-03 04:00:00,2026-06-03,9,99.02,93.1,99.02,112.9,0.0
2026-06-03 04:30:00,2026-06-03,10,98.84,97.24,98.84,118.08,0.0
2026-06-03 05:00:00,2026-06-03,11,98.77,98.77,98.77,122.81,0.0
2026-06-03 05:30:00,2026-06-03,12,98.91,98.91,98.91,129.4,0.0
2026-06-03 06:00:00,2026-06-03,13,99.13,99.13,99.13,132.7,0.0001
2026-06-03 06:30:00,2026-06-03,14,99.44,99.44,99.44,130.2,0.0001
2026-06-03 07:00:00,2026-06-03,15,99.58,95.51,99.58,128.3,0.0001
2026-06-03 07:30:00,2026-06-03,16,100.75,79.52,100.75,123.9,0.0001
2026-06-03 08:00:00,2026-06-03,17,100.47,81.51,100.47,122.72,0.0001
2026-06-03 08:30:00,2026-06-03,18,99.74,90.48,99.74,119.05,0.0001
2026-06-03 09:00:00,2026-06-03,19,99.2,91.78,99.2,119.28,0.0001
2026-06-03 09:30:00,2026-06-03,20,99.22,99.22,99.22,120.22,0.0001
2026-06-03 10:00:00,2026-06-03,21,99.28,91.02,99.28,118.06,0.0
2026-06-03 10:30:00,2026-06-03,22,99.27,80.63,99.27,118.54,0.0001
2026-06-03 11:00:00,2026-06-03,23,98.71,81.41,98.71,112.52,0.0
2026-06-03 11:30:00,2026-06-03,24,97.36,82.8,97.36,97.36,0.0
2026-06-03 12:00:00,2026-06-03,25,97.09,83.75,97.09,97.09,0.0
2026-06-03 12:30:00,2026-06-03,26,97.47,83.16,97.47,116.4,0.0001
2026-06-03 13:00:00,2026-06-03,27,99.08,82.16,99.08,116.44,0.0001
2026-06-03 13:30:00,2026-06-03,28,99.08,81.93,99.08,110.37,0.0001
2026-06-03 14:00:00,2026-06-03,29,99.09,81.5,99.09,118.72,0.0001
2026-06-03 14:30:00,2026-06-03,30,99.1,80.86,99.1,120.39,0.0001
2026-06-03 15:00:00,2026-06-03,31,100.19,82.38,100.19,130.14,0.0
2026-06-03 15:30:00,2026-06-03,32,100.3,87.63,100.3,128.86,0.0001
2026-06-03 16:00:00,2026-06-03,33,101.49,76.93,101.49,124.95,0.0
2026-06-03 16:30:00,2026-06-03,34,101.66,77.13,101.66,130.05,0.0
2026-06-03 17:00:00,2026-06-03,35,101.56,79.12,101.56,127.75,0.0
2026-06-03 17:30:00,2026-06-03,36,101.11,83.14,101.11,125.91,0.0
2026-06-03 18:00:00,2026-06-03,37,100.88,84.43,100.88,126.06,0.0
2026-06-03 18:30:00,2026-06-03,38,100.2,85.81,100.2,100.2,0.0
2026-06-03 19:00:00,2026-06-03,39,101.75,85.83,101.75,131.15,0.0
2026-06-03 19:30:00,2026-06-03,40,100.67,86.24,100.67,131.93,0.0001
2026-06-03 20:00:00,2026-06-03,41,100.32,84.19,100.32,130.62,0.0
2026-06-03 20:30:00,2026-06-03,42,99.92,85.52,99.92,128.63,0.0001
2026-06-03 21:00:00,2026-06-03,43,98.33,78.46,98.33,111.04,0.0001
2026-06-03 21:30:00,2026-06-03,44,96.02,75.47,96.02,114.19,0.0001
2026-06-03 22:00:00,2026-06-03,45,94.75,70.92,94.75,109.76,0.0001
2026-06-03 22:30:00,2026-06-03,46,93.44,60.57,93.44,106.22,0.0001
2026-06-03 23:00:00,2026-06-03,47,92.8,70.47,92.8,100.26,0.0001
2026-06-03 23:30:00,2026-06-03,48,92.28,72.44,92.28,104.51,0.0
