settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-05-27 00:00:00,2026-05-27,1,124.94,82.58,124.94,152.74,114.76,10.18
2026-05-27 00:30:00,2026-05-27,2,136.32,90.21,136.32,167.85,114.76,21.56
2026-05-27 01:00:00,2026-05-27,3,128.59,81.32,128.59,161.3,114.76,13.84
2026-05-27 01:30:00,2026-05-27,4,117.63,71.4,117.63,149.28,114.76,2.87
2026-05-27 02:00:00,2026-05-27,5,119.09,73.43,119.09,150.17,114.76,4.33
2026-05-27 02:30:00,2026-05-27,6,116.12,69.32,116.12,148.35,114.76,1.36
2026-05-27 03:00:00,2026-05-27,7,114.72,72.05,114.72,142.83,114.76,-0.04
2026-05-27 03:30:00,2026-05-27,8,111.07,63.95,111.07,143.63,114.76,-3.68
2026-05-27 04:00:00,2026-05-27,9,114.67,66.53,114.67,148.25,114.76,-0.09
2026-05-27 04:30:00,2026-05-27,10,115.02,65.33,115.02,150.14,114.76,0.26
2026-05-27 05:00:00,2026-05-27,11,117.41,67.77,117.41,152.47,114.76,2.65
2026-05-27 05:30:00,2026-05-27,12,112.72,61.77,112.72,149.11,114.76,-2.03
2026-05-27 06:00:00,2026-05-27,13,127.04,77.45,127.04,162.06,114.76,12.28
2026-05-27 06:30:00,2026-05-27,14,124.19,78.15,124.19,155.65,114.76,9.43
2026-05-27 07:00:00,2026-05-27,15,122.46,73.12,122.46,157.22,114.76,7.7
2026-05-27 07:30:00,2026-05-27,16,122.72,75.16,122.72,155.7,114.76,7.96
2026-05-27 08:00:00,2026-05-27,17,117.67,65.07,117.67,155.71,114.76,2.92
2026-05-27 08:30:00,2026-05-27,18,116.14,66.22,116.14,151.49,114.76,1.38
2026-05-27 09:00:00,2026-05-27,19,114.35,60.52,114.35,153.61,114.76,-0.41
2026-05-27 09:30:00,2026-05-27,20,116.84,63.41,116.84,155.7,114.76,2.08
2026-05-27 10:00:00,2026-05-27,21,109.94,52.8,109.94,152.51,114.76,-4.82
2026-05-27 10:30:00,2026-05-27,22,109.41,48.71,109.41,155.54,114.76,-5.35
2026-05-27 11:00:00,2026-05-27,23,95.9,36.9,95.9,140.33,114.76,-18.86
2026-05-27 11:30:00,2026-05-27,24,96.72,43.15,96.72,135.73,114.76,-18.03
2026-05-27 12:00:00,2026-05-27,25,88.02,29.8,88.02,131.66,114.76,-26.74
2026-05-27 12:30:00,2026-05-27,26,85.5,23.31,85.5,133.13,114.76,-29.25
2026-05-27 13:00:00,2026-05-27,27,92.25,36.61,92.25,133.32,114.76,-22.51
2026-05-27 13:30:00,2026-05-27,28,92.08,37.54,92.08,132.06,114.76,-22.67
2026-05-27 14:00:00,2026-05-27,29,97.45,38.95,97.45,141.39,114.76,-17.31
2026-05-27 14:30:00,2026-05-27,30,89.04,28.71,89.04,134.81,114.76,-25.72
2026-05-27 15:00:00,2026-05-27,31,92.72,31.82,92.72,139.06,114.76,-22.03
2026-05-27 15:30:00,2026-05-27,32,91.98,28.9,91.98,140.49,114.76,-22.78
2026-05-27 16:00:00,2026-05-27,33,102.09,33.94,102.09,155.68,114.76,-12.66
2026-05-27 16:30:00,2026-05-27,34,101.15,33.98,101.15,153.74,114.76,-13.61
2026-05-27 17:00:00,2026-05-27,35,127.68,71.96,127.68,168.83,114.76,12.92
2026-05-27 17:30:00,2026-05-27,36,123.42,63.54,123.42,168.72,114.76,8.66
2026-05-27 18:00:00,2026-05-27,37,139.24,78.42,139.24,185.49,114.76,24.48
2026-05-27 18:30:00,2026-05-27,38,150.44,99.07,150.44,187.24,114.76,35.68
2026-05-27 19:00:00,2026-05-27,39,153.33,101.39,153.33,190.71,114.76,38.58
2026-05-27 19:30:00,2026-05-27,40,151.35,102.05,151.35,186.07,114.76,36.59
2026-05-27 20:00:00,2026-05-27,41,150.82,95.96,150.82,191.12,114.76,36.07
2026-05-27 20:30:00,2026-05-27,42,152.66,103.57,152.66,187.19,114.76,37.91
2026-05-27 21:00:00,2026-05-27,43,137.51,88.1,137.51,172.35,114.76,22.75
2026-05-27 21:30:00,2026-05-27,44,142.21,95.03,142.21,174.81,114.76,27.45
2026-05-27 22:00:00,2026-05-27,45,119.24,71.33,119.24,152.58,114.76,4.48
2026-05-27 22:30:00,2026-05-27,46,119.29,70.51,119.29,153.5,114.76,4.53
2026-05-27 23:00:00,2026-05-27,47,108.92,53.8,108.92,149.47,114.76,-5.84
2026-05-27 23:30:00,2026-05-27,48,110.74,64.38,110.74,142.53,114.76,-4.02
