settlement_datetime,settlement_date,settlement_period,ssp_predicted
2026-05-18 00:00:00,2026-05-18,1,113.96
2026-05-18 00:30:00,2026-05-18,2,102.52
2026-05-18 01:00:00,2026-05-18,3,98.38
2026-05-18 01:30:00,2026-05-18,4,95.56
2026-05-18 02:00:00,2026-05-18,5,93.85
2026-05-18 02:30:00,2026-05-18,6,92.44
2026-05-18 03:00:00,2026-05-18,7,90.66
2026-05-18 03:30:00,2026-05-18,8,89.18
2026-05-18 04:00:00,2026-05-18,9,86.38
2026-05-18 04:30:00,2026-05-18,10,85.38
2026-05-18 05:00:00,2026-05-18,11,88.97
2026-05-18 05:30:00,2026-05-18,12,91.81
2026-05-18 06:00:00,2026-05-18,13,94.44
2026-05-18 06:30:00,2026-05-18,14,95.47
2026-05-18 07:00:00,2026-05-18,15,98.53
2026-05-18 07:30:00,2026-05-18,16,100.16
2026-05-18 08:00:00,2026-05-18,17,99.9
2026-05-18 08:30:00,2026-05-18,18,99.53
2026-05-18 09:00:00,2026-05-18,19,98.8
2026-05-18 09:30:00,2026-05-18,20,97.26
2026-05-18 10:00:00,2026-05-18,21,97.64
2026-05-18 10:30:00,2026-05-18,22,97.79
2026-05-18 11:00:00,2026-05-18,23,97.81
2026-05-18 11:30:00,2026-05-18,24,98.38
2026-05-18 12:00:00,2026-05-18,25,98.38
2026-05-18 12:30:00,2026-05-18,26,98.11
2026-05-18 13:00:00,2026-05-18,27,97.61
2026-05-18 13:30:00,2026-05-18,28,97.34
2026-05-18 14:00:00,2026-05-18,29,97.51
2026-05-18 14:30:00,2026-05-18,30,97.37
2026-05-18 15:00:00,2026-05-18,31,97.28
2026-05-18 15:30:00,2026-05-18,32,98.0
2026-05-18 16:00:00,2026-05-18,33,98.82
2026-05-18 16:30:00,2026-05-18,34,99.74
2026-05-18 17:00:00,2026-05-18,35,101.08
2026-05-18 17:30:00,2026-05-18,36,101.57
2026-05-18 18:00:00,2026-05-18,37,100.58
2026-05-18 18:30:00,2026-05-18,38,101.22
2026-05-18 19:00:00,2026-05-18,39,101.25
2026-05-18 19:30:00,2026-05-18,40,101.01
2026-05-18 20:00:00,2026-05-18,41,99.14
2026-05-18 20:30:00,2026-05-18,42,97.74
2026-05-18 21:00:00,2026-05-18,43,93.85
2026-05-18 21:30:00,2026-05-18,44,92.31
2026-05-18 22:00:00,2026-05-18,45,92.37
2026-05-18 22:30:00,2026-05-18,46,92.18
2026-05-18 23:00:00,2026-05-18,47,92.64
2026-05-18 23:30:00,2026-05-18,48,92.04
