settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-05-28 00:00:00,2026-05-28,1,112.82,74.88,112.82,130.91,104.45,8.37
2026-05-28 00:30:00,2026-05-28,2,108.74,67.07,108.74,130.57,104.45,4.3
2026-05-28 01:00:00,2026-05-28,3,106.77,63.93,106.77,129.78,104.45,2.33
2026-05-28 01:30:00,2026-05-28,4,110.07,68.28,110.07,132.02,104.45,5.63
2026-05-28 02:00:00,2026-05-28,5,105.09,63.87,105.09,126.47,104.45,0.64
2026-05-28 02:30:00,2026-05-28,6,105.28,62.91,105.28,127.81,104.45,0.84
2026-05-28 03:00:00,2026-05-28,7,97.38,59.13,97.38,115.78,104.45,-7.07
2026-05-28 03:30:00,2026-05-28,8,103.45,60.76,103.45,126.31,104.45,-0.99
2026-05-28 04:00:00,2026-05-28,9,101.84,58.13,101.84,125.71,104.45,-2.61
2026-05-28 04:30:00,2026-05-28,10,100.2,54.94,100.2,125.63,104.45,-4.24
2026-05-28 05:00:00,2026-05-28,11,102.83,57.62,102.83,128.19,104.45,-1.62
2026-05-28 05:30:00,2026-05-28,12,100.4,53.87,100.4,127.08,104.45,-4.05
2026-05-28 06:00:00,2026-05-28,13,121.56,76.4,121.56,146.88,104.45,17.12
2026-05-28 06:30:00,2026-05-28,14,124.74,83.14,124.74,146.5,104.45,20.3
2026-05-28 07:00:00,2026-05-28,15,112.84,67.94,112.84,137.9,104.45,8.39
2026-05-28 07:30:00,2026-05-28,16,115.61,72.49,115.61,138.89,104.45,11.17
2026-05-28 08:00:00,2026-05-28,17,112.17,64.0,112.17,140.51,104.45,7.73
2026-05-28 08:30:00,2026-05-28,18,112.95,67.46,112.95,138.61,104.45,8.51
2026-05-28 09:00:00,2026-05-28,19,107.19,57.78,107.19,136.75,104.45,2.74
2026-05-28 09:30:00,2026-05-28,20,106.89,57.88,106.89,136.05,104.45,2.44
2026-05-28 10:00:00,2026-05-28,21,96.98,44.27,96.98,129.86,104.45,-7.46
2026-05-28 10:30:00,2026-05-28,22,87.96,31.69,87.96,124.39,104.45,-16.48
2026-05-28 11:00:00,2026-05-28,23,94.03,39.46,94.03,128.76,104.45,-10.41
2026-05-28 11:30:00,2026-05-28,24,82.56,33.41,82.56,111.86,104.45,-21.89
2026-05-28 12:00:00,2026-05-28,25,79.98,26.2,79.98,113.92,104.45,-24.47
2026-05-28 12:30:00,2026-05-28,26,86.57,28.81,86.57,124.49,104.45,-17.88
2026-05-28 13:00:00,2026-05-28,27,72.21,21.0,72.21,103.58,104.45,-32.23
2026-05-28 13:30:00,2026-05-28,28,69.03,18.92,69.03,99.3,104.45,-35.42
2026-05-28 14:00:00,2026-05-28,29,63.79,9.72,63.79,98.02,104.45,-40.65
2026-05-28 14:30:00,2026-05-28,30,59.57,3.66,59.57,95.63,104.45,-44.88
2026-05-28 15:00:00,2026-05-28,31,59.18,2.71,59.18,95.81,104.45,-45.26
2026-05-28 15:30:00,2026-05-28,32,58.92,0.27,58.92,97.73,104.45,-45.53
2026-05-28 16:00:00,2026-05-28,33,93.06,29.34,93.06,136.94,104.45,-11.38
2026-05-28 16:30:00,2026-05-28,34,103.65,40.91,103.65,146.54,104.45,-0.8
2026-05-28 17:00:00,2026-05-28,35,105.13,53.84,105.13,136.58,104.45,0.68
2026-05-28 17:30:00,2026-05-28,36,102.4,46.96,102.4,138.0,104.45,-2.04
2026-05-28 18:00:00,2026-05-28,37,115.05,58.65,115.05,151.6,104.45,10.6
2026-05-28 18:30:00,2026-05-28,38,126.64,79.7,126.64,153.74,104.45,22.2
2026-05-28 19:00:00,2026-05-28,39,139.36,91.85,139.36,167.03,104.45,34.91
2026-05-28 19:30:00,2026-05-28,40,137.38,92.52,137.38,162.4,104.45,32.93
2026-05-28 20:00:00,2026-05-28,41,133.3,82.87,133.3,163.89,104.45,28.86
2026-05-28 20:30:00,2026-05-28,42,127.57,82.91,127.57,152.39,104.45,23.13
2026-05-28 21:00:00,2026-05-28,43,122.17,77.19,122.17,147.31,104.45,17.72
2026-05-28 21:30:00,2026-05-28,44,127.22,84.48,127.22,150.12,104.45,22.77
2026-05-28 22:00:00,2026-05-28,45,98.05,54.57,98.05,121.69,104.45,-6.39
2026-05-28 22:30:00,2026-05-28,46,102.94,58.58,102.94,127.45,104.45,-1.51
2026-05-28 23:00:00,2026-05-28,47,107.21,56.52,107.21,138.06,104.45,2.77
2026-05-28 23:30:00,2026-05-28,48,104.62,62.69,104.62,126.72,104.45,0.18
