settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,spike_prob
2026-05-20 00:00:00,2026-05-20,1,130.64,113.94,130.64,134.0,0.0
2026-05-20 00:30:00,2026-05-20,2,117.23,70.83,117.23,133.48,0.0
2026-05-20 01:00:00,2026-05-20,3,106.81,73.53,106.81,124.68,0.0
2026-05-20 01:30:00,2026-05-20,4,101.08,68.4,101.08,122.5,0.0
2026-05-20 02:00:00,2026-05-20,5,96.53,67.74,96.53,98.97,0.0
2026-05-20 02:30:00,2026-05-20,6,95.12,72.18,95.12,106.15,0.0
2026-05-20 03:00:00,2026-05-20,7,94.24,72.7,94.24,110.31,0.0
2026-05-20 03:30:00,2026-05-20,8,92.82,71.82,92.82,114.49,0.0
2026-05-20 04:00:00,2026-05-20,9,92.41,72.34,92.41,126.86,0.0
2026-05-20 04:30:00,2026-05-20,10,92.56,72.64,92.56,122.03,0.0001
2026-05-20 05:00:00,2026-05-20,11,93.35,73.57,93.35,129.84,0.0
2026-05-20 05:30:00,2026-05-20,12,94.82,71.78,94.82,114.92,0.0
2026-05-20 06:00:00,2026-05-20,13,96.57,72.12,96.57,124.48,0.0
2026-05-20 06:30:00,2026-05-20,14,98.14,76.17,98.14,125.37,0.0
2026-05-20 07:00:00,2026-05-20,15,100.1,69.9,100.1,126.35,0.0
2026-05-20 07:30:00,2026-05-20,16,102.04,68.54,102.04,124.9,0.0
2026-05-20 08:00:00,2026-05-20,17,101.77,96.99,101.77,118.89,0.0
2026-05-20 08:30:00,2026-05-20,18,100.54,49.21,100.54,110.58,0.0
2026-05-20 09:00:00,2026-05-20,19,98.95,71.47,98.95,98.95,0.0
2026-05-20 09:30:00,2026-05-20,20,97.45,73.41,97.45,99.49,0.0001
2026-05-20 10:00:00,2026-05-20,21,96.98,73.29,96.98,109.7,0.0001
2026-05-20 10:30:00,2026-05-20,22,96.07,74.3,96.07,116.63,0.0
2026-05-20 11:00:00,2026-05-20,23,96.84,74.19,96.84,118.77,0.0001
2026-05-20 11:30:00,2026-05-20,24,96.65,70.69,96.65,120.18,0.0001
2026-05-20 12:00:00,2026-05-20,25,96.99,74.25,96.99,117.54,0.0001
2026-05-20 12:30:00,2026-05-20,26,96.81,65.81,96.81,107.44,0.0
2026-05-20 13:00:00,2026-05-20,27,96.52,67.9,96.52,107.6,0.0
2026-05-20 13:30:00,2026-05-20,28,95.88,74.75,95.88,103.7,0.0001
2026-05-20 14:00:00,2026-05-20,29,94.75,76.83,94.75,94.75,0.0
2026-05-20 14:30:00,2026-05-20,30,93.2,75.9,93.2,107.54,0.0
2026-05-20 15:00:00,2026-05-20,31,93.35,78.05,93.35,114.65,0.0001
2026-05-20 15:30:00,2026-05-20,32,93.7,79.03,93.7,127.51,0.0001
2026-05-20 16:00:00,2026-05-20,33,97.34,83.74,97.34,137.34,0.0
2026-05-20 16:30:00,2026-05-20,34,99.69,84.6,99.69,129.16,0.0001
2026-05-20 17:00:00,2026-05-20,35,101.45,84.56,101.45,133.9,0.0001
2026-05-20 17:30:00,2026-05-20,36,102.5,84.55,102.5,132.57,0.0001
2026-05-20 18:00:00,2026-05-20,37,104.27,84.98,104.27,125.91,0.0001
2026-05-20 18:30:00,2026-05-20,38,103.88,82.75,103.88,128.34,0.0001
2026-05-20 19:00:00,2026-05-20,39,104.93,81.41,104.93,127.6,0.0001
2026-05-20 19:30:00,2026-05-20,40,105.65,82.22,105.65,129.93,0.0001
2026-05-20 20:00:00,2026-05-20,41,105.08,84.47,105.08,126.11,0.0
2026-05-20 20:30:00,2026-05-20,42,104.86,89.38,104.86,119.11,0.0001
2026-05-20 21:00:00,2026-05-20,43,103.84,85.58,103.84,115.56,0.0
2026-05-20 21:30:00,2026-05-20,44,100.89,94.76,100.89,111.83,0.0
2026-05-20 22:00:00,2026-05-20,45,99.58,75.41,99.58,110.82,0.0001
2026-05-20 22:30:00,2026-05-20,46,98.19,88.44,98.19,111.23,0.0
2026-05-20 23:00:00,2026-05-20,47,97.11,76.5,97.11,109.38,0.0
2026-05-20 23:30:00,2026-05-20,48,96.71,88.02,96.71,109.55,0.0
