settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,pred_daily_level,pred_deviation
2026-06-14 00:00:00,2026-06-14,1,65.52,36.68,65.52,96.29,69.09,-3.57
2026-06-14 00:30:00,2026-06-14,2,63.8,34.96,63.8,94.57,69.09,-5.29
2026-06-14 01:00:00,2026-06-14,3,57.05,28.22,57.05,87.82,69.09,-12.04
2026-06-14 01:30:00,2026-06-14,4,57.14,28.3,57.14,87.91,69.09,-11.95
2026-06-14 02:00:00,2026-06-14,5,54.28,25.44,54.28,85.05,69.09,-14.81
2026-06-14 02:30:00,2026-06-14,6,56.39,27.55,56.39,87.16,69.09,-12.7
2026-06-14 03:00:00,2026-06-14,7,55.09,26.25,55.09,85.86,69.09,-14.0
2026-06-14 03:30:00,2026-06-14,8,53.85,25.02,53.85,84.63,69.09,-15.23
2026-06-14 04:00:00,2026-06-14,9,57.62,28.78,57.62,88.39,69.09,-11.47
2026-06-14 04:30:00,2026-06-14,10,52.47,23.63,52.47,83.24,69.09,-16.62
2026-06-14 05:00:00,2026-06-14,11,52.9,24.06,52.9,83.67,69.09,-16.19
2026-06-14 05:30:00,2026-06-14,12,47.95,19.11,47.95,78.72,69.09,-21.14
2026-06-14 06:00:00,2026-06-14,13,60.3,31.47,60.3,91.07,69.09,-8.79
2026-06-14 06:30:00,2026-06-14,14,50.93,22.09,50.93,81.7,69.09,-18.16
2026-06-14 07:00:00,2026-06-14,15,59.91,31.07,59.91,90.68,69.09,-9.18
2026-06-14 07:30:00,2026-06-14,16,50.9,22.06,50.9,81.67,69.09,-18.19
2026-06-14 08:00:00,2026-06-14,17,71.93,43.09,71.93,102.7,69.09,2.84
2026-06-14 08:30:00,2026-06-14,18,72.68,43.85,72.68,103.46,69.09,3.6
2026-06-14 09:00:00,2026-06-14,19,82.99,54.16,82.99,113.76,69.09,13.9
2026-06-14 09:30:00,2026-06-14,20,73.0,44.17,73.0,103.77,69.09,3.91
2026-06-14 10:00:00,2026-06-14,21,76.91,48.08,76.91,107.69,69.09,7.83
2026-06-14 10:30:00,2026-06-14,22,67.81,38.97,67.81,98.58,69.09,-1.28
2026-06-14 11:00:00,2026-06-14,23,74.96,46.12,74.96,105.73,69.09,5.87
2026-06-14 11:30:00,2026-06-14,24,71.55,42.71,71.55,102.32,69.09,2.46
2026-06-14 12:00:00,2026-06-14,25,79.99,51.15,79.99,110.76,69.09,10.9
2026-06-14 12:30:00,2026-06-14,26,75.12,46.28,75.12,105.89,69.09,6.03
2026-06-14 13:00:00,2026-06-14,27,79.92,51.08,79.92,110.69,69.09,10.83
2026-06-14 13:30:00,2026-06-14,28,78.23,49.4,78.23,109.0,69.09,9.14
2026-06-14 14:00:00,2026-06-14,29,82.39,53.56,82.39,113.17,69.09,13.31
2026-06-14 14:30:00,2026-06-14,30,75.22,46.39,75.22,105.99,69.09,6.13
2026-06-14 15:00:00,2026-06-14,31,92.01,63.17,92.01,122.78,69.09,22.92
2026-06-14 15:30:00,2026-06-14,32,92.84,64.01,92.84,123.62,69.09,23.76
2026-06-14 16:00:00,2026-06-14,33,95.41,66.58,95.41,126.18,69.09,26.32
2026-06-14 16:30:00,2026-06-14,34,103.32,74.48,103.32,134.09,69.09,34.23
2026-06-14 17:00:00,2026-06-14,35,100.05,71.22,100.05,130.82,69.09,30.96
2026-06-14 17:30:00,2026-06-14,36,102.44,73.6,102.44,133.21,69.09,33.35
2026-06-14 18:00:00,2026-06-14,37,101.3,72.46,101.3,132.07,69.09,32.21
2026-06-14 18:30:00,2026-06-14,38,91.66,62.82,91.66,122.43,69.09,22.57
2026-06-14 19:00:00,2026-06-14,39,89.73,60.89,89.73,120.5,69.09,20.64
2026-06-14 19:30:00,2026-06-14,40,84.49,55.65,84.49,115.26,69.09,15.4
2026-06-14 20:00:00,2026-06-14,41,83.04,54.2,83.04,113.81,69.09,13.95
2026-06-14 20:30:00,2026-06-14,42,90.29,61.46,90.29,121.07,69.09,21.21
2026-06-14 21:00:00,2026-06-14,43,78.24,49.41,78.24,109.02,69.09,9.16
2026-06-14 21:30:00,2026-06-14,44,85.61,56.77,85.61,116.38,69.09,16.52
2026-06-14 22:00:00,2026-06-14,45,73.18,44.34,73.18,103.95,69.09,4.09
2026-06-14 22:30:00,2026-06-14,46,70.59,41.75,70.59,101.36,69.09,1.5
2026-06-14 23:00:00,2026-06-14,47,74.25,45.42,74.25,105.02,69.09,5.16
2026-06-14 23:30:00,2026-06-14,48,74.3,45.46,74.3,105.07,69.09,5.21
