settlement_datetime,settlement_date,settlement_period,ssp_predicted,ssp_q10,ssp_q50,ssp_q90,spike_prob
2026-05-22 00:00:00,2026-05-22,1,97.07,76.89,97.07,158.37,0.0
2026-05-22 00:30:00,2026-05-22,2,96.3,77.94,96.3,152.23,0.0001
2026-05-22 01:00:00,2026-05-22,3,95.03,76.55,95.03,153.03,0.0
2026-05-22 01:30:00,2026-05-22,4,94.24,80.01,94.24,134.29,0.0
2026-05-22 02:00:00,2026-05-22,5,92.72,80.07,92.72,131.31,0.0
2026-05-22 02:30:00,2026-05-22,6,91.31,80.2,91.31,91.31,0.0001
2026-05-22 03:00:00,2026-05-22,7,91.63,80.2,91.63,105.86,0.0
2026-05-22 03:30:00,2026-05-22,8,89.98,80.2,89.98,92.24,0.0
2026-05-22 04:00:00,2026-05-22,9,89.41,79.21,89.41,93.73,0.0001
2026-05-22 04:30:00,2026-05-22,10,86.63,78.7,86.63,92.32,0.0
2026-05-22 05:00:00,2026-05-22,11,84.23,78.64,84.23,97.7,0.0
2026-05-22 05:30:00,2026-05-22,12,87.05,78.15,87.05,134.37,0.0001
2026-05-22 06:00:00,2026-05-22,13,91.03,76.56,91.03,128.14,0.0001
2026-05-22 06:30:00,2026-05-22,14,94.9,94.9,94.9,133.16,0.0001
2026-05-22 07:00:00,2026-05-22,15,96.45,75.62,96.45,131.52,0.0001
2026-05-22 07:30:00,2026-05-22,16,97.95,75.01,97.95,133.19,0.0001
2026-05-22 08:00:00,2026-05-22,17,99.12,60.41,99.12,123.23,0.0
2026-05-22 08:30:00,2026-05-22,18,100.77,63.25,100.77,120.88,0.0
2026-05-22 09:00:00,2026-05-22,19,100.24,61.25,100.24,118.84,0.0
2026-05-22 09:30:00,2026-05-22,20,99.61,61.39,99.61,117.17,0.0001
2026-05-22 10:00:00,2026-05-22,21,99.05,61.17,99.05,115.18,0.0001
2026-05-22 10:30:00,2026-05-22,22,97.8,73.44,97.8,118.1,0.0006
2026-05-22 11:00:00,2026-05-22,23,96.47,75.28,96.47,100.18,0.0002
2026-05-22 11:30:00,2026-05-22,24,95.28,73.85,95.28,95.28,0.0002
2026-05-22 12:00:00,2026-05-22,25,94.25,73.54,94.25,94.25,0.0001
2026-05-22 12:30:00,2026-05-22,26,93.09,74.32,93.09,115.02,0.0002
2026-05-22 13:00:00,2026-05-22,27,92.46,73.69,92.46,128.1,0.0001
2026-05-22 13:30:00,2026-05-22,28,93.83,72.4,93.83,96.65,0.0001
2026-05-22 14:00:00,2026-05-22,29,92.55,72.1,92.55,92.55,0.0001
2026-05-22 14:30:00,2026-05-22,30,89.92,72.2,89.92,89.92,0.0
2026-05-22 15:00:00,2026-05-22,31,87.19,74.42,87.19,87.19,0.0001
2026-05-22 15:30:00,2026-05-22,32,86.42,78.53,86.42,128.23,0.0002
2026-05-22 16:00:00,2026-05-22,33,94.15,80.27,94.15,137.34,0.0002
2026-05-22 16:30:00,2026-05-22,34,96.17,81.07,96.17,130.71,0.0001
2026-05-22 17:00:00,2026-05-22,35,97.59,81.5,97.59,132.52,0.0001
2026-05-22 17:30:00,2026-05-22,36,98.35,88.03,98.35,135.69,0.0001
2026-05-22 18:00:00,2026-05-22,37,98.9,92.07,98.9,130.12,0.0001
2026-05-22 18:30:00,2026-05-22,38,99.36,90.96,99.36,131.5,0.0004
2026-05-22 19:00:00,2026-05-22,39,99.46,99.46,99.46,130.46,0.0003
2026-05-22 19:30:00,2026-05-22,40,99.25,99.25,99.25,134.87,0.0004
2026-05-22 20:00:00,2026-05-22,41,99.05,99.05,99.05,130.33,0.0001
2026-05-22 20:30:00,2026-05-22,42,98.96,98.96,98.96,128.32,0.0003
2026-05-22 21:00:00,2026-05-22,43,97.66,97.66,97.66,122.87,0.0005
2026-05-22 21:30:00,2026-05-22,44,96.94,96.94,96.94,120.36,0.0002
2026-05-22 22:00:00,2026-05-22,45,95.33,73.88,95.33,124.56,0.0
2026-05-22 22:30:00,2026-05-22,46,95.91,94.97,95.91,115.56,0.0
2026-05-22 23:00:00,2026-05-22,47,95.31,67.94,95.31,112.85,0.0
2026-05-22 23:30:00,2026-05-22,48,94.99,71.14,94.99,100.34,0.0
