settlement_date,settlement_period,ssp,sbp,net_imbalance_volume,sell_price_adjustment,buy_price_adjustment
2026-04-13,31,85.75,85.75,-454.2435994706604,0.0,0.0
2026-04-13,32,85.75,85.75,-457.5684670873379,0.0,0.0
2026-04-13,33,85.78,85.78,-212.08743855926582,0.0,0.0
2026-04-13,34,85.78,85.78,-280.34126823491306,0.0,0.0
2026-04-13,35,85.78,85.78,-136.4533348611111,0.0,0.0
2026-04-13,36,120.45,120.45,-56.02607638888889,0.0,0.0
2026-04-13,37,121.62,121.62,-176.6761535103842,0.0,0.0
2026-04-13,38,103.42,103.42,-230.21228398148148,0.0,0.0
2026-04-13,39,117.11,117.11,-85.78232638888889,0.0,0.0
2026-04-13,40,140.0,140.0,101.59641291666667,0.0,0.0
2026-04-13,41,131.65,131.65,56.366057777777776,0.0,0.0
2026-04-13,42,98.04798343619197,98.04798343619197,-47.88765611111111,0.0,0.0
2026-04-13,43,85.8,85.8,-77.86012999183006,0.0,0.0
2026-04-13,44,85.8,85.8,-96.24552921719444,0.0,0.0
2026-04-13,45,121.6,121.6,12.933609722222222,0.0,0.0
2026-04-13,46,129.99,129.99,456.68307279833334,0.0,0.0
2026-04-13,47,118.0,118.0,3.6072901388888887,0.0,0.0
2026-04-13,48,89.35,89.35,-25.5375,0.0,0.0
2026-04-14,1,99.34,99.34,98.75697115384615,0.0,0.0
2026-04-14,2,98.33,98.33,20.59249861111111,0.0,0.0
2026-04-14,3,88.65,88.65,-60.13819875,0.0,0.0
2026-04-14,4,90.66,90.66,-50.083888888888886,0.0,0.0
2026-04-14,5,82.12,82.12,-235.32027888888888,0.0,0.0
2026-04-14,6,82.12,82.12,-148.77717391304347,0.0,0.0
2026-04-14,7,124.31025033557864,124.31025033557864,201.0882830178904,0.0,0.0
2026-04-14,8,105.01,105.01,0.6870514660493827,0.0,0.0
2026-04-14,9,81.25,81.25,-34.50277777777778,0.0,0.0
2026-04-14,10,90.62067699742234,90.62067699742234,-68.21666666666667,0.0,0.0
2026-04-14,11,142.56,142.56,154.60656565656566,0.0,0.0
2026-04-14,12,137.61,137.61,58.53387021164021,0.0,0.0
2026-04-14,13,144.5,144.5,65.43245483868185,0.0,0.0
2026-04-14,14,157.5,157.5,421.6933486965812,0.0,0.0
2026-04-14,15,144.5,144.5,118.32412771184063,0.0,0.0
2026-04-14,16,146.9,146.9,303.99518518518516,0.0,0.0
2026-04-14,17,95.4,95.4,-58.643496435185185,0.0,0.0
2026-04-14,18,144.5,144.5,17.811515555555555,0.0,0.0
2026-04-14,19,83.23,83.23,-264.7518122592593,0.0,0.0
2026-04-14,20,82.26,82.26,-180.83528709676554,0.0,0.0
