feature,importance_mean,importance_std
hour,0.029264124366391565,0.011631632681915341
day_of_week,0.011879084229794645,0.0016713140182386883
month,0.0,0.0
week_of_year,4.739877110473412e-05,8.755888810215724e-05
quarter,0.0,0.0
day_of_year,0.00040245296919556585,8.232969377521664e-05
sin_sp,0.03135328062170364,0.004291375890224523
cos_sp,0.01308666886874379,0.0031146994610174814
sin_hour,0.03450188991664038,0.0031562687056381536
cos_hour,0.004071359319188117,0.00020528251555848373
sin_dow,0.0022467212229448697,0.0022191381028621765
cos_dow,0.0036796706042923955,0.0005402951768572816
sin_month,0.0,0.0
cos_month,0.0,0.0
sin_annual,0.0004924029987681377,0.00038976191964590416
cos_annual,0.00045152741799030504,0.0002843028510939115
sin_half_annual,0.0015328572062477176,0.0009031014173746275
cos_half_annual,0.00130456289248011,0.0005669836492484673
is_weekend,0.0,0.0
is_peak,-3.816231903088774e-05,0.0001578897015592541
is_evening_ramp,-1.5706986620811493e-05,7.632562937276983e-05
is_uk_holiday,0.0,0.0
is_business_day,0.007711304102477423,0.0039753396379826065
ssp_lag_48,0.010321005654512928,0.0018102428054305507
ssp_lag_96,0.02459015539056548,0.002086870662637823
ssp_lag_336,0.021430735048094608,0.0031264297954565106
net_imbalance_volume_lag_48,0.009959542647697828,0.0016209194802190364
net_imbalance_volume_lag_336,0.010739377299328478,0.001243119100155394
ssp_diff_48_336,0.011954566194779637,0.0019141434889417062
ssp_raw_lag_48,0.0,0.0
ssp_raw_lag_96,0.0,0.0
ssp_raw_lag_336,0.0,0.0
is_spike_lag_48,0.0,0.0
is_spike_lag_336,0.0,0.0
is_negative_lag_48,0.0,0.0
is_negative_lag_336,0.0013069682164428497,0.0007916406638804777
ssp_ramp_48,0.008994239687640192,0.0017161501696456491
ssp_ramp_336,0.004225523198434033,0.0013517313493097017
ssp_raw_ramp_48,0.0002686177108055521,0.0005457310059907448
niv_ramp_48,0.0054813462011608525,0.0006497455804892296
same_sp_mean_7d,0.003925497466181848,0.003182361266687469
same_sp_std_7d,0.0036379283119148953,0.0015750165718635542
same_sp_range_7d,0.005757093017305403,0.0009269022925319494
ssp_sp_deviation,0.014334860985063091,0.0005740924237013865
ssp_sp_trend_7d,0.0,0.0
niv_same_sp_std_7d,0.007805310962988287,0.0015255731504459974
niv_same_sp_mean_7d,0.008625774480277081,0.0021478875324208815
wind_pct_lag_48,0.026625675786611614,0.0046971306225787575
wind_pct_lag_336,0.03095433690006688,0.0028013602479207023
gas_pct_lag_48,0.02476824259567869,0.006735090648089736
gas_pct_lag_336,0.02698167181060205,0.006249186270621527
cpi_index,0.0,0.0
cpi_yoy,0.0,0.0
heating_degree,0.001938616406717375,0.0005084023280654839
cooling_degree,0.0020476233860181824,0.000615569321778806
temp_c_lag_48,0.010005533115812515,0.002603596467547765
temp_c_lag_336,0.022137777149507265,0.004034211918195877
wind_ms_lag_48,0.026663176000296773,0.00232749127278677
wind_ms_lag_336,0.021883854172171556,0.0018305973579128471
solar_wm2_lag_48,0.07652462400099964,0.0133715691013405
solar_wm2_lag_336,0.051180576968297455,0.006638111889426506
precip_mm_lag_48,0.005298274891350085,0.001434504423163459
precip_mm_lag_336,0.012386471613736471,0.0015479611021462522
ssp_daily_mean_lag1d,0.026657698294824894,0.0027103747513946732
ssp_daily_mean_lag7d,0.0431563480748459,0.00760723001643005
ssp_raw_daily_max_lag1d,0.007207847777382703,0.0013245989043817559
niv_daily_mean_lag1d,0.023107706101198833,0.006149137714434301
spike_count_lag1d,0.0,0.0
spike_count_roll_7d,0.0,0.0
ssp_daily_roll_mean_7d,0.006165037529520556,0.0012460980572858247
ssp_daily_roll_std_7d,0.0010675750564351771,0.0001847750149410505
temp_c_daily_mean_lag1d,0.022598176939313742,0.004677901150502185
wind_ms_daily_mean_lag1d,0.00813875295036326,0.0013607884835766773
solar_wm2_daily_mean_lag1d,0.00757219267118312,0.002271408644492272
ssp_lag48_deviation,0.010658880813993243,0.0013637388951562232
ssp_lag336_deviation,0.011755897433649975,0.0015472920974808494
